"","Employ","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Stability","CPI","Internet","Developed"
"Poland",8.170000076,3.795392425,7.67714206759239,75.69512195,4.4e+11,0.067763227,136502.7771,99,0.9380806,5,58.97,"0"
"Puerto Rico",9.430000305,-0.835530022,7.67714206759239,78.191,2.45e+11,0.095330859,44210.64559,96,0.7876344,5.8,48.27,"0"
"Korea, Dem. People's Rep.",15,3.9171047698587,7.67714206759239,69.185,96385600000,-0.545401894,33214.18211725,78.9402173913043,0.1553971,5.8,41.5,"0"
"Paraguay",6.860000134,5.587420043,12.6704102,72.45,1.74e+11,-0.833088755,54324.05305,95,0.3602153,3.8,36.6,"0"
"French Polynesia",8.300000191,11.64732958,13.07996529,75.363,1.22e+12,0.030107761,191803,98,-0.9684567,2.89945652173913,42.55,"0"
"Qatar",1.059999943,12.94439784,8.937107028,78.945,5671332138,2.675188908,235,97,-0.5062013,3.3,7.7,"0"
"Romania",5.828000069,6.324953362,10.2330929,73.3097561,584706020.2,0.697620977,230.539,64,0.9572471,4.5,6,"0"
"Rwanda",5.380000114,5.057223147,7.67714206759239,62.129,4.29e+11,2.82495713,33214.18211725,98,-0.4911588,4.3,38,"0"
"Saudi Arabia",10.21100044,-2.248021479,6.781073639,73.75,16145868285,2.714996863,2017.386,86,-0.2043053,3,7.5,"0"
"Sudan",4.048999786,7.469166667,13.34632548,62.33,2453899847,2.243077346,230.662,84,-0.2885165,2.2,0.26,"0"
"Senegal",5.860000134,0.596720257,2.356467094,63.607,1.94e+11,3.015949915,245785,97,1.179446,9.2,69,"0"
"Singapore",12.02999973,1.615104641,7.67714206759239,81.24146341,89399303222,0.133257321,55773.43948,99,0.9190537,2.89945652173913,70,"0"
"Solomon Islands",5.860000134,0.839262247,7.67714206759239,70.366,50567734886,0.903875535,26177.10848,96,0.9348058,6.6,64,"0"
"Sierra Leone",2.019999981,7.092717169,3.255748441,48.468,735940409.7,2.320269659,268.075,86,0.2143921,2.8,4,"0"
"El Salvador",18.93700027,3.9171047698587,7.67714206759239,70.978,257880572219.433,2.773309278,33214.18211725,42,-3.314937,1.1,1.160610542,"0"
"Somalia",23.52000046,7.215314136,2.802508977,53.654,3.3e+11,1.391535432,74053.5,81,-0.1132994,4.7,10,"0"
"South Sudan",12.17800045,5.006273615,7.67714206759239,54.219,12231264525,4.534830261,33214.18211725,78.9402173913043,-0.156206382065217,2.89945652173913,25.7163994958913,"0"
"Sao Tome and Principe",17.86000061,-0.287813084,1.94049711985714,66.938,1.49e+12,0.885735981,227338.41,96,-0.4737767,6.1,62.4,"0"
"Suriname",5.849999905,3.464963221,9.248011791,70.209,42066217872,0.695753117,7345,97,-1.342192,3.1,25.7163994958913,"0"
"Slovak Republic",15.36999989,-0.156936087,10.23099536,74.9097561,1401507889,1.292700786,33214.18211725,95,0.6870351,2.89945652173913,31,"0"
"Slovenia",18.96299934,0.421539126,10.45000887,78.97073171,674922222.2,-0.099679741,33214.18211725,99,0.7300712,2.89945652173913,31,"0"
"Sweden",13,11.25675871,7.67714206759239,81.35121951,51621044077,2.163115464,9690.9,81,-2.647896,1.5,25.7163994958913,"0"
"Eswatini",8.720000267,-0.133636647,4.851803072,45.275,3875409836,1.151867845,1390.098,87,0.1462163,3.7,31.36,"0"
"Syrian Arab Republic",8.350000381,-0.494460544,7.67714206759239,72.938,4.37e+11,0.851904413,130780.729,98,1.085468,9.2,91,"0"
"Chad",4.119999886,-0.480481936,2.323401262,50.346,5.58e+11,1.249484631,155378.058,95,1.307553,9,81.3,"0"
"Togo",8.140000343,2.920897118,7.67714206759239,56.818,2.25e+11,2.588332527,10855.12,80,-0.5069562,2.89945652173913,17.3,"0"
"Thailand",11.5,6.448234811,9.355201282,73.766,4979481980,2.124696625,1010.3,93,-1.025995,2,10.07,"0"
"Tajikistan",2.5,12.14222787,5.492230433,68.36,29081425282,2.872958629,2982.405,85,0.0891499,2.6,2.4,"0"
"Turkmenistan",0.949000001,-0.845716092,4.572319805,66.355,2.82e+11,0.503538551,152422.24,99,-1.424786,3.4,20.1,"0"
"Timor-Leste",3.312000036,0.669681186,7.67714206759239,66.796,726882400,1.7709883,8.49,72,-0.5674121,2.2,2,"0"
"Tonga",2.882999897,3.71360592,3.339914935,69.982,3379258565,2.714931003,1508.526,78,-0.1650247,2.8,2.6,"0"
"Trinidad and Tobago",1.674000025,1.426859721,7.67714206759239,71.71,312377379.3,0.494981255,7.844,99,0.2143921,3,10,"0"
"Turkiye",13.28999996,3.664903306,7.67714206759239,74.074,43454935940,1.062716626,14445.136,99,0.0617746,4.2,34.07,"0"
"Tanzania",7.7331404052337,6.250976631,7.67714206759239,57.666,257880572219.433,1.55275806020652,33214.18211725,96,-0.156206382065217,2.89945652173913,36.4,"0"
"Uganda",4,3.9171047698587,7.67714206759239,56.06,20214385965,1.45195727,5000,96,0.4831258,1.8,1.95,"0"
"Ukraine",3.599999905,13.01725619,-34.74344296,69.19,25127805566,3.167526076,1567.614,79,-0.9924353,2.5,4.1,"0"
"Uzbekistan",7.539999962,1.961731736,-1.053275871,69.435,2.43e+12,0.75639086,358158.2162,93,0.1215835,7.7,83.56,"0"
"St. Vincent and the Grenadines",9.25,-0.355546266,2.592428971,71.716,1.44e+13,0.876651299,33214.18211725,95,0.4484303,7.5,71,"0"
"Venezuela, RB",7.739999771,7.062218744,6.995333861,73.116,31660911277,0.282665228,6906.728,95,0.7903185,6.7,41.8,"0"
"Virgin Islands (U.S.)",5,3.9171047698587,7.67714206759239,77.51463415,33689223673,1.687340969,10735,98,-0.9496508,1.7,11.9,"0"
"Vietnam",1.807999969,4.29706573,2.871859007,74.745,592622502.4,2.437343697,56.693,75,1.230607,3.2,7.5,"0"
"World",1.74000001,6.7169827,3.627881414,70.24645381,1.06e+11,0.979409219,33214.18211725,96,0.2717096,2.89945652173913,26.55,"0"
"Samoa",11.58399963,3.9171047698587,7.67714206759239,71.412,4.2e+09,0.006457535,33214.18211725,78.9402173913043,-0.1422989,2.89945652173913,27.39650968,"0"
"Yemen, Rep.",6.005675682,2.936231536,7.67714206759239,65.255,257880572219.433,1.221744457,33214.18211725,78.9402173913043,-0.156206382065217,2.89945652173913,25.66850954,"0"
"South Africa",12.7489996,5.407760981,29.2517104,56.46,25130274124,2.811869556,33214.18211725,76,-2.327018,2.89945652173913,9.96,"0"
"Zambia",10.55799961,13.39525463,15.63363346,54.13,15328342304,2.813380762,3831.582,94,0.5683178,3,2.5,"0"
"Zimbabwe",5.083000183,3.9171047698587,7.67714206759239,48.449,9665793300,1.183728108,2268.898,73,-1.16715,2.2,4,"0"
