"","Life_Expect","GDP","Population","Trade","Immune","Developed"
"148",66.571,15955700000,1.13366199,4238.83344021739,27.1576086956522,"0"
"150",67.192,45995032026.2993,0.65434187,10980,27.1576086956522,"0"
"151",65.234,45995032026.2993,0.667503222,4238.83344021739,27.1576086956522,"0"
"152",73.239,1407062608,3.357051246,82,17,"0"
"153",69.36829268,45995032026.2993,0.569356397,11,66,"0"
"154",67.26390244,45995032026.2993,2.044968062,4238.83344021739,42,"0"
"156",63.66,4095892072,2.778164963,1076,27.1576086956522,"0"
"157",54.342,1114830472,2.207103652,150,27.1576086956522,"0"
"158",49.94,14175228844,4.807689009,20967,87,"0"
"159",72.58780488,45995032026.2993,0.726099437,4238.83344021739,27.1576086956522,"0"
"160",62.798,45995032026.2993,0.27396083,4238.83344021739,27.1576086956522,"0"
"161",40.386,194215752,3.357864839,91,35,"0"
"162",56.658,699112266.8,3.595954226,4238.83344021739,2,"0"
"163",45.068,85454420500,2.682232992,22925,27.1576086956522,"0"
"164",39.206,45995032026.2993,3.145383927,4238.83344021739,27.1576086956522,"0"
"165",60.014,2.03e+11,0.710878011,20334,46.1428571428571,"0"
"166",65.873,4415844156,1.563822445,1088.12,45,"0"
"167",70.62926829,194444444.4,1.354635636,4238.83344021739,64,"0"
