GDP_Rate,Life_expectancy,Murder,Population_Growth,Inflation_Rate,Fuel_Exports,Agriculture_Exports,Manufacturing_Exports,Merchandise_Exports,Recession
,77.42195122,2.385506317,1.507660673,3.423340044,6558.883224,22338.52189,73314.3193,127629,1
3.920251368,69.145,4.099397334,1.467303211,5.724589743,,10059.82,44312.311,62091,1
-2.948564945,74.638,4.099397334,0.881662573,5.261274572,1412.783431,,,5100,1
3.679914053,68.899,8.718659133,2.364382033,5.813629203,10772.66007,1235.953,63.03,2714.3,1
2.923935081,76.6,2.39116827,0.508741657,2.670432337,16020.63903,37101.23,161308.11,216588,1
5.255006083,75.2277561,1.177676257,0.861969449,3.396643509,1553.31272,24620.688,375650.798,421100,1
5.533454561,57.865,5.057039129,2.076089204,10.66830385,272.873852,3505.5086,12523.2796,17969.1,1
,76.60731707,3.304597572,3.094603009,15.93206613,6276.669411,1327.428946,10430.21095,12080,1
1.985774943,76.97073171,3.144707171,0.083708573,8.914063408,11361.40846,11858.274,148082.521,170304,1
5.175768387,70.866,17.26525939,1.893130261,28.13049291,791.734513,3466.086395,25258.12256,40711,1
3.411812226,64.732,0.358763035,1.838166675,7.694359622,0.311173,1228.344,2211.066,4265,1
1.932419827,76.53731707,1.106589008,0.344151413,3.811429996,19734.47452,3076.865319,11132.09945,34047.2,1
-4.982563536,66.165,4.099397334,2.093396569,6261.239559,1833.64616,789.00382,590.71739,3279.809191,1
3.082672529,66.366,14.99470823,2.543416989,12.97128127,843.472795,1682.815,5590.712205,8117,1
3.781393378,76.83756098,1.234507228,0.101828843,7.326251168,,9368.297,41677.537,55642,1
0.73375552,75.8804878,1.24871696,0.298930554,7.888311909,4297.184039,14960.632,146708.33,185172,1
1.885964957,75.21463415,9.296355416,1.12965052,3.699156703,19804.95512,59403.6905,290485.7633,393592,1
5.100918139,70.551,4.099397334,2.138677878,42.09509813,24012.57651,,,2404.039,1
3.924983822,53.243,4.361723132,2.268273041,2.179103285,0,310.846746,186.956773,540.066,1
11.16999999,74.952,5.915645195,3.710554891,19.68156235,62721.21413,23.56278,1153.828745,63914,1
4.057233103,74.725,4.932815059,0.992570476,23.17116498,8802.862992,37510.74463,21583.56318,70018.3,1
1.833430856,59.93,4.361723132,0.134262662,14.27570645,111839,26.66188,66.427813,5456.201117,1
3.577014878,81.39512195,1.223497165,2.00402174,4.536310854,156.3402,26133.52932,28972.47565,187256.679,1
0.6400985,72.966,26.10785059,0.445720486,1.445173653,44020,110.97051,219.237974,487.795,1
5.094195448,78.184,8.215870204,0.994310572,8.778395153,121.473882,61398,86405,195764.6242,1
6.691577475,73.546,1.350802572,1.479373723,12.25378661,161472.6717,68.059611,4153.640945,4708.01,1
1.007622695,65.394,2.398472756,1.082907116,4.004975858,55259.50215,54136.67017,214091.7409,456470.923,1
9.65067892,80.69512195,1.841762155,0.512386932,7.827406952,,42258.31566,1331387.894,1430693,1
4.116828042,73.835,1.094217934,-0.125773248,-0.344532567,11843.18166,,,3957.447,1
6.3571306,74.705,17.93510341,1.65919151,13.8473189,49559.26484,5415.908792,1468.407107,18818.3255,1
0.25494596,79.73658537,1.025093816,0.558843467,2.379119109,84275.55884,75955.96582,480663.7333,616240.1232,1
0.959879134,78.15,4.583083971,-0.190142845,0.838791683,44546.97097,86959.55392,1234121.887,1446171.447,1
3.08669806,80.95121951,1.709199138,1.464889915,8.664665347,1398.472,21251.042,113148.3955,194828.3,1
3.45885767,81.48536585,1.043750703,1.776579106,2.427106243,37754.98541,2113.64,56369.867,60825.1,1
-0.962012841,75.194,12.63905213,0.662469253,2.480577356,57836.591,41051.57302,456422.8693,542748.0799,1
1.143584587,73.826,4.361723132,1.495369098,6.001252742,3987.775961,17075.469,212100.104,291264.809,1
5.923277686,80.59268293,0.712636769,1.190234661,4.530497095,5361.39587,3743.650302,12550.11531,20344.848,1
0.476345013,69.515,6.402501719,1.246333015,10.43366077,128866.8972,8303.537133,28959.23322,171764.345,1
9.126568301,81.17560976,0.883461047,0.80594339,1.103276292,16332.69732,5278.399734,4119.899636,31018.54141,1
4.344487305,79.6,1.226162681,1.65996399,7.549059634,4154.915581,3961.33541,40541.66154,49077.54051,1
0.887145182,81.21463415,1.64123616,1.595330499,2.135441392,13210.5678,43777.09685,206107.0707,281493.1987,1
-0.239638085,65.794,3.831111722,0.787032622,2.82238757,28828.02214,29550.09494,327506.9235,477475.4961,1
0.122188443,78.03902439,5.425291053,0.945865287,1.961612383,82829.71465,140160.8736,973394.0837,1287442,1
5.661771208,74.625,1.266183495,0.959836735,22.67331618,125954.5586,14559.92292,34126.16658,62685,1
,40.128,,2.200731281,,,,,217,0
,42.721,,3.806905212,,,,,1012,0
-0.028412104,67.985,,1.572154307,197.6973645,,,,2961.3,0
,70.833,,0.207955183,,,,,,0
1.335646309,72.62536585,,1.231185888,16.47712699,,,,11948.4,0
-1.900000001,70.113,,0.617360116,,,,,107.317,0
5.166649084,60.884,,2.368917449,33.86227732,,,,8670,0
,23.595,,-0.117879206,,,,,5,0
,73.52170732,,1.459424913,10.69515381,,,,34074.2,0
8.719999998,63.915,,1.766391782,-1.131175156,,,,7689,0
9.476426069,72.138,,1.337425298,4.329206231,,,,3677,0
10.972154,60.774,,2.769643786,5.575828937,,,,973.9,0
-0.959884746,72.85365854,,0.630849499,13.75727242,,,,53099.7,0
-0.866738894,71.40173171,,-0.372846359,5.66662366,,,,90175.6,0
9.149912016,51.012,,2.321760467,-1.648681546,,,,4355.12,0
,72.04512195,,2.283471582,36.56802421,,,,1940.7,0
-2.090162915,72.64731707,,0.597247219,16.98308845,,,,34987.7,0
5.744485049,63.922,,2.791826423,15.62549816,,,,2903.84,0
7.558221561,54.492,,2.175771131,0.931315959,,,,1543.14,0
4.952147785,74.81756098,,0.551888897,8.885225502,,,,7231.5,0
4.300863165,57.575,,2.678614989,22.19156777,,,,1290.86,0
5.45110287,63.183,,2.803796893,9.315827491,,,,2294.46,0
0.542203214,73.31878049,,1.081293603,16.78178182,,,,7690.49,0
-1.47364947,72.72439024,,-0.007423363,25.77763713,,,,43422.9,0
-0.205456065,72.60487805,,0.985986067,9.261424055,,,,108856,0
,61.446,,2.201132315,,,,,229,0
,44.617,,-2.219779588,,,,,708,0
